# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
17.55  232.4164261793608  231.98085153135207  199.64460704632933
17.65  221.73823482966822  221.10443695285682  190.24773804496266
17.75  211.56475873376093  210.77060994970603  181.31011452110639
17.85  201.8959978916389  200.95470745029306  172.8246711597219
17.95  192.69236679320136  191.60740331140488  164.75608138561608
18.05  183.9439690609231  182.7286975330414  157.09021456871167
18.15  175.6013228071781  174.2939270435961  149.80587476389286
18.25  167.67432440949156  166.26609723565917  142.87480071100515
18.35  160.12338835776274  158.6328765734272  136.28992709500983
18.45  152.9287218969411  151.3696019852938  130.02299265575252
18.55  146.09032502702678  144.46394193545555  124.06693207819454
18.65  139.5686122379189  137.89123335230593  118.40761473225868
18.75  133.36358352961744  131.6391447000416  113.01677935779041
18.85  127.44554976954687  125.68301290705617  107.89442595478978
18.95  121.81451095770713  120.02777058767076  103.0122932631023
19.05  116.45067433904784  114.63765628805595  98.37744659776656
19.15  111.33424715851858  109.50650424031006  93.96162469862809
19.25  106.46522941611939  104.6219829086298  89.75776225064826
19.35  101.81393197927459  99.97052760363161  85.75172862374984
19.45  97.39025122550945  95.53980678951218  81.94352381793281
19.55  93.16845657325844  91.31995523762889  78.31195188808134
19.65  89.14261019600639  87.29864141217844  74.8570128341954
19.75  85.30182607847564  83.46846639167886  71.56457602619774
19.85  81.6391767563985  79.81709864032689  68.43040227506522
19.95  78.14476585224979  76.33713923664055  65.4417740137283
20.05  74.80869698850432  73.0187229519772  62.59233245865223
20.15  71.62503233864696  69.85445086485488  59.875718826302254
20.25  68.58288588739997  66.83199143947031  57.28274820712813
20.35  65.67631980824825  63.947645215082524  54.80706181759514
20.45  62.898406636924136  61.192780116629194  52.44300740567237
20.55  60.24320854691253  58.561230376208684  50.185639250832786
20.65  57.705777349450834  56.04806337949969  48.030011632549346
20.75  55.2801752180239  53.64834651218091  45.971178830295024
20.85  52.96145396386916  51.35591400635067  44.0056081865505
20.95  50.744665398223994  49.16583324768769  42.1276474492849
21.05  48.62585097007831  47.07440477545096  40.334470492482744
21.15  46.601052128422054  45.07669597531918  38.62183812712088
21.25  44.6643310467401  43.167774232971034  36.985511164176124
21.35  42.81172917402235  41.34394008766554  35.42266347763304
21.45  41.04126723476377  39.6014940786617  33.92905587846844
21.55  39.34799704020177  37.93673674521856  32.50256877217075
21.65  37.728949677078774  36.3459686265951  31.13966950122065
21.75  36.180166594384715  34.82549026205036  29.837531939602695
21.85  34.69867887886203  33.37283534442368  28.59262342979758
21.95  33.28151761725316  31.984304412974055  27.40353090879757
22.05  31.92670353405305  30.656198006960523  26.26672171908336
22.15  30.63027807825163  29.388516126383067  25.18078279764723
22.25  29.389272336591343  28.175093003340063  24.14218148696986
22.35  28.201707033567146  27.015928637831493  23.14950472404353
22.45  27.065602893673997  25.907323569116393  22.200632914356653
22.55  25.978980641406856  24.846811490034092  21.293446463397647
22.65  24.93788172575564  23.833159247004264  20.42582577665492
22.75  23.942306146720355  22.86266737928592  19.595651259616886
22.85  22.98829535329092  21.93533588687907  18.80221638077969
